label,alg,district,baseline,best_reward,final_reward,best_step,n_eval_points,best_delta,final_delta
Full TopK12,A2C,성동구,-594.8518857697841,-578.1659942104517,-597.5047185900107,150,11,16.68589155933239,-2.6528328202266493
Full TopK12,A2C,성북구,-102.0627157134765,-117.01647642312257,-117.01647642312257,100,11,-14.953760709646062,-14.953760709646062
Full TopK12,A2C,송파구,-1225.7996363883465,-1173.8190562112452,-1173.8190562112452,50,11,51.980580177101274,51.980580177101274
Full TopK12,A2C,양천구,-1083.3153729974601,-1070.482643637123,-1070.482643637123,50,11,12.832729360337225,12.832729360337225
Full TopK12,A2C,영등포구,-1896.9705988373582,-1845.3698746668906,-2023.4482740204724,1,11,51.60072417046763,-126.47767518311412
Full TopK12,A2C,용산구,-66.89860792865139,-70.73815758080657,-70.73815758080657,250,11,-3.839549652155185,-3.839549652155185
Full TopK12,A2C,은평구,-150.21607343804496,-159.64904704306792,-159.64904704306792,50,11,-9.432973605022966,-9.432973605022966
Full TopK12,A2C,종로구,-268.2836955125016,-263.55095254341325,-263.55095254341325,100,11,4.732742969088349,4.732742969088349
Full TopK12,A2C,중구,-182.61475511225203,-179.36452148063745,-179.36452148063745,100,11,3.2502336316145772,3.2502336316145772
Full TopK12,A2C,중랑구,-161.6356754974581,-154.60864890493357,-154.60864890493357,100,11,7.027026592524521,7.027026592524521
VAE TopK9 BW,REINFORCE+VAE,강서구,-2676.0772020562486,-2813.278184870629,-2890.4669239151326,1,11,-137.2009828143805,-214.38972185888406
VAE TopK9 BW,REINFORCE+VAE,관악구,-73.94744718722015,-100.47341333936633,-100.47341333936633,100,11,-26.525966152146182,-26.525966152146182
VAE TopK9 BW,REINFORCE+VAE,구로구,-609.5512092114152,-582.2997940156424,-582.2997940156424,100,11,27.25141519577278,27.25141519577278
VAE TopK9 BW,REINFORCE+VAE,노원구,-457.180474730789,-430.48561976414857,-430.48561976414857,150,11,26.694854966640435,26.694854966640435
VAE TopK9 BW,REINFORCE+VAE,서대문구,-139.25862312292162,-168.11926171694802,-171.1821142047427,100,11,-28.860638594026398,-31.923491081821084
VAE TopK9 BW,REINFORCE+VAE,성북구,-102.0627157134765,-117.01647642312257,-117.01647642312257,300,11,-14.953760709646062,-14.953760709646062
VAE TopK9 BW,REINFORCE+VAE,송파구,-1225.7996363883465,-1241.6695181338232,-1330.625667213085,1,11,-15.869881745476732,-104.82603082473861
VAE TopK9 BW,REINFORCE+VAE,양천구,-1083.3153729974601,-1030.507725274065,-1030.507725274065,150,11,52.80764772339512,52.80764772339512
VAE TopK9 BW,REINFORCE+VAE,영등포구,-1896.9705988373582,-1894.9786702960416,-1896.612761376914,450,11,1.9919285413166108,0.35783746044421605
VAE TopK9 BW,REINFORCE+VAE,중구,-182.61475511225203,-198.80849080001218,-198.80849080001218,100,11,-16.193735687760153,-16.193735687760153
VAE TopK9 BW,A2C+VAE,강서구,-2676.0772020562486,-2637.33981360554,-2637.33981360554,300,11,38.73738845070875,38.73738845070875
VAE TopK9 BW,A2C+VAE,관악구,-73.94744718722015,-100.47341333936633,-118.03421882313549,100,11,-26.525966152146182,-44.08677163591534
VAE TopK9 BW,A2C+VAE,구로구,-609.5512092114152,-672.0695380502638,-705.5362664415966,1,11,-62.51832883884856,-95.98505723018138
VAE TopK9 BW,A2C+VAE,노원구,-457.180474730789,-430.48561976414857,-430.48561976414857,100,11,26.694854966640435,26.694854966640435
VAE TopK9 BW,A2C+VAE,서대문구,-139.25862312292162,-156.55933984942737,-156.55933984942737,50,11,-17.300716726505755,-17.300716726505755
VAE TopK9 BW,A2C+VAE,성북구,-102.0627157134765,-117.01647642312257,-117.01647642312257,100,11,-14.953760709646062,-14.953760709646062
VAE TopK9 BW,A2C+VAE,송파구,-1225.7996363883465,-1243.236743769625,-1286.8135518110325,250,11,-17.437107381278565,-61.01391542268607
VAE TopK9 BW,A2C+VAE,양천구,-1083.3153729974601,-1030.507725274065,-1053.4756331269741,350,11,52.80764772339512,29.839739870486028
VAE TopK9 BW,A2C+VAE,영등포구,-1896.9705988373582,-1911.0081451923686,-1917.2981351013973,50,11,-14.037546355010363,-20.327536264039054
VAE TopK9 BW,A2C+VAE,중구,-182.61475511225203,-179.36452148063745,-179.36452148063745,100,11,3.2502336316145772,3.2502336316145772
Bandit TopK9 BW,Contextual Bandit,강서구,-2676.0772020562486,-2752.689061055661,-2768.133092289158,40000,9,-76.61185899941256,-92.0558902329094
Bandit TopK9 BW,Contextual Bandit,관악구,-73.94744718722015,-103.52896118194869,-107.69426399691342,40000,9,-29.58151399472854,-33.74681680969327
Bandit TopK9 BW,Contextual Bandit,구로구,-609.5512092114152,-639.0259238437097,-657.7962595208705,20000,9,-29.474714632294535,-48.24505030945534
Bandit TopK9 BW,Contextual Bandit,노원구,-457.180474730789,-514.7254494530041,-584.7606998882906,20000,9,-57.5449747222151,-127.58022515750156
Bandit TopK9 BW,Contextual Bandit,서대문구,-139.25862312292162,-156.66795722935888,-158.4500167841173,40000,9,-17.409334106437257,-19.19139366119569
Bandit TopK9 BW,Contextual Bandit,성북구,-102.0627157134765,-116.77248544648359,-117.60632788606814,60000,9,-14.709769733007079,-15.543612172591637
Bandit TopK9 BW,Contextual Bandit,송파구,-1225.7996363883465,-1230.836783375693,-1234.6333906951518,120000,9,-5.037146987346432,-8.833754306805304
Bandit TopK9 BW,Contextual Bandit,양천구,-1083.3153729974601,-1147.976914515768,-1187.6707633699964,20000,9,-64.66154151830779,-104.35539037253625
Bandit TopK9 BW,Contextual Bandit,영등포구,-1896.9705988373582,-1911.3848177216387,-1923.7357715757723,40000,9,-14.414218884280444,-26.765172738414094
Bandit TopK9 BW,Contextual Bandit,중구,-182.61475511225203,-186.97613921888976,-208.70314021250715,20000,9,-4.361384106637729,-26.088385100255124
Bandit TopK12 all,Contextual Bandit,강남구,-350.3599508836934,-518.49481597067,-543.2000872697456,60000,9,-168.13486508697656,-192.84013638605222
Bandit TopK12 all,Contextual Bandit,강동구,-334.2573463233564,-779.3200776910817,-795.1882162590663,20000,9,-445.0627313677253,-460.9308699357099
Bandit TopK12 all,Contextual Bandit,강북구,-13.616036756349311,-39.10134795096534,-41.84986435915253,120000,9,-25.48531119461603,-28.233827602803217
Bandit TopK12 all,Contextual Bandit,강서구,-2676.0772020562486,-3707.5298316178273,-3721.47110426459,120000,9,-1031.4526295615788,-1045.3939022083414
Bandit TopK12 all,Contextual Bandit,관악구,-73.94744718722015,-165.32095415642297,-175.23489229622402,40000,9,-91.37350696920282,-101.28744510900387
Bandit TopK12 all,Contextual Bandit,광진구,-591.597740357906,-1015.1731315763528,-1043.2563300818424,20000,9,-423.57539121844684,-451.6585897239364
Bandit TopK12 all,Contextual Bandit,구로구,-609.5512092114152,-897.5620056674298,-916.8240717557289,140000,9,-288.01079645601465,-307.27286254431374
Bandit TopK12 all,Contextual Bandit,금천구,-256.21739023640725,-385.02391744742283,-428.67714907862995,20000,9,-128.80652721101558,-172.4597588422227
Bandit TopK12 all,Contextual Bandit,노원구,-457.180474730789,-900.6322434822254,-973.4489158735572,20000,9,-443.45176875143636,-516.2684411427682
Bandit TopK12 all,Contextual Bandit,도봉구,-82.2353194406718,-137.00089762903153,-138.77385428883034,80000,9,-54.765578188359726,-56.538534848158534
Bandit TopK12 all,Contextual Bandit,동대문구,-321.128317502743,-453.03128514376897,-470.8518622818883,40000,9,-131.90296764102595,-149.7235447791453
Bandit TopK12 all,Contextual Bandit,동작구,-97.78108169902266,-170.02676704328087,-176.79877774724758,80000,9,-72.2456853442582,-79.01769604822492
