alg,gu,k,base,best_ep,best,final,best_delta,final_delta
REINFORCE,노원구,6,-457.180474730789,180,-404.23361245537643,-405.9499118798593,52.94686227541257,51.23056285092969
REINFORCE,서대문구,6,-139.25862312292162,60,-156.12737911519505,-203.42045620952214,-16.868755992273435,-64.16183308660052
REINFORCE,성북구,6,-102.0627157134765,80,-116.69966124099963,-117.01647642312257,-14.636945527523125,-14.953760709646062
REINFORCE,송파구,6,-1225.7996363883465,40,-1284.5821965485895,-1362.223145897262,-58.782560160243065,-136.42350950891546
REINFORCE,양천구,6,-1083.3153729974601,200,-1030.507725274065,-1030.507725274065,52.80764772339512,52.80764772339512
REINFORCE,영등포구,6,-1896.9705988373582,120,-1868.5728102576952,-1868.5728102576952,28.39778857966303,28.39778857966303
REINFORCE,중구,6,-182.61475511225203,40,-179.36452148063745,-179.36452148063745,3.2502336316145772,3.2502336316145772
REINFORCE,강서구,9,-2676.0772020562486,60,-2845.980063023683,-2845.980063023683,-169.90286096743466,-169.90286096743466
REINFORCE,관악구,9,-73.94744718722015,80,-113.49080417206099,-189.2639442928522,-39.54335698484084,-115.31649710563204
REINFORCE,구로구,9,-609.5512092114152,80,-584.4950471186836,-703.4076934562089,25.056162092731597,-93.8564842447937
REINFORCE,노원구,9,-457.180474730789,20,-430.48561976414857,-503.8064279929192,26.694854966640435,-46.625953262130224
REINFORCE,서대문구,9,-139.25862312292162,180,-172.01392103287142,-178.9303190635919,-32.7552979099498,-39.671695940670276
REINFORCE,성북구,9,-102.0627157134765,20,-116.59508977414708,-122.54005269341278,-14.532374060670577,-20.47733697993627
REINFORCE,송파구,9,-1225.7996363883465,1,-1289.2862656002887,-1362.7383114345078,-63.48662921194227,-136.93867504616128
REINFORCE,양천구,9,-1083.3153729974601,80,-1070.387889966449,-1070.482643637123,12.927483031011207,12.832729360337225
REINFORCE,영등포구,9,-1896.9705988373582,180,-1947.914829285473,-1980.7763295283826,-50.944230448114695,-83.80573069102434
REINFORCE,중구,9,-182.61475511225203,20,-192.18010480169394,-212.12478747141617,-9.565349689441916,-29.510032359164143
