district,k,seed,timesteps,eval_reward,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,policy_gradient_loss,value_loss,baseline,eval_delta
마포구,3,123,170000.0,-444.4922915440856,1.8192455172538757e-05,0.0,0.1,-0.7677509665489197,0.5963188409805298,0.0001,44.400474548339844,-0.0003370916470885277,147.1202835083008,-490.3667980298629,45.87450648577726
마포구,3,42,20000.0,-445.7524071909575,3.30386683344841e-07,0.0,0.1,-0.773123687505722,0.003457784652709961,0.0001,1003.6422119140625,-3.3156760036945346e-05,1628.4179809570312,-490.3667980298629,44.614390838905365
마포구,3,42,40000.0,-476.2184926973767,2.5506597012281418e-06,0.0,0.1,-0.8082972407341004,0.20355677604675293,0.0001,218.8627471923828,-0.000137417484074831,446.8475311279297,-490.3667980298629,14.148305332486188
마포구,3,42,60000.0,-459.4916366254223,1.2353993952274323e-06,0.0,0.1,-0.980543053150177,0.06271332502365112,0.0001,844.1470336914062,-0.00010336656123399734,2050.005822753906,-490.3667980298629,30.875161404440576
마포구,3,42,80000.0,-466.0899428916426,2.0460691303014755e-05,0.0,0.1,-0.8852509200572968,0.3595050573348999,0.0001,223.788818359375,-0.00035243239253759386,472.08092041015624,-490.3667980298629,24.2768551382203
마포구,3,42,100000.0,-445.7524071909575,4.847592208534479e-05,0.0,0.1,-0.5168881773948669,0.837694525718689,0.0001,24.572538375854492,-0.00038819857873022555,59.99959449768066,-490.3667980298629,44.614390838905365
마포구,3,42,120000.0,-445.7524071909575,0.0003061417955905199,0.0,0.1,-0.5967034220695495,0.9392978549003601,0.0001,13.042548179626465,-0.001124558039009571,32.89173355102539,-490.3667980298629,44.614390838905365
마포구,3,42,140000.0,-445.7524071909575,3.912369720637798e-06,0.0,0.1,-0.8027699947357178,0.6700842380523682,0.0001,419.1690979003906,-0.00020401924848556519,1002.7656921386719,-490.3667980298629,44.614390838905365
마포구,3,42,160000.0,-445.7524071909575,3.394263330847025e-05,0.0,0.1,-0.40639236867427825,0.4065840244293213,0.0001,367.2191162109375,-0.0007078572176396847,727.0277587890625,-490.3667980298629,44.614390838905365
마포구,3,42,170000.0,-445.7524071909575,0.0008965986780822277,0.0,0.1,-0.6790051698684693,0.4593883752822876,0.0001,789.8616333007812,0.0005036028102040291,1521.338916015625,-490.3667980298629,44.614390838905365
마포구,3,777,20000.0,-445.79867892571855,0.00010261556599289179,0.0,0.1,-0.8216456234455108,0.037132203578948975,0.0001,1636.79150390625,-9.79546457529068e-06,3850.1815185546875,-490.3667980298629,44.56811910414433
마포구,3,777,40000.0,-445.79867892571855,0.0001223430735990405,0.0,0.1,-0.38952070772647857,0.8474345803260803,0.0001,13.021744728088379,-0.0005473864264786243,37.78411235809326,-490.3667980298629,44.56811910414433
마포구,3,777,60000.0,-445.79867892571855,0.00015277729835361242,0.0,0.1,-0.8228080630302429,0.6162710189819336,0.0001,82.74132537841797,-0.0004554457264021039,204.93272094726564,-490.3667980298629,44.56811910414433
