algorithm,district,baseline_reward,best_reward,final_reward,best_delta,final_delta,best_step,final_step,n_eval_points,history_path,station_count,active_station_count,demand_volume,forecast_rows,forecast_station_count,forecast_station_coverage,forecast_mae_rent,forecast_mae_return
DQN,중랑구,-301.3,-325.1874919830939,-329.53759388692254,-23.887491983093867,-28.237593886922525,80000.0,170000.0,9,logs/dqn_interactive_dqn_중랑구/history.npy,111,96,2087258.0,5045952,96,0.8648648648648649,,
BANDIT,강남구,-531.69,-518.49481597067,-543.2000872697456,13.195184029330107,-11.510087269745554,60000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_강남구/history.npy,201,179,2526424.0,9410209,179,0.8905472636815921,,
BANDIT,강동구,-662.9,-779.3200776910817,-795.1882162590663,-116.4200776910817,-132.2882162590663,20000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_강동구/history.npy,140,123,3540785.0,6465618,123,0.8785714285714286,,
BANDIT,강북구,-35.24,-39.10134795096534,-41.84986435915253,-3.861347950965339,-6.609864359152525,120000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_강북구/history.npy,73,59,934477.0,3101276,59,0.8082191780821918,,
BANDIT,강서구,-3549.03,-3707.5298316178273,-3721.47110426459,-158.4998316178271,-172.44110426458974,120000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_강서구/history.npy,232,201,9191249.0,10566570,201,0.8663793103448276,,
BANDIT,관악구,-143.52,-165.32095415642297,-175.23489229622402,-21.80095415642296,-31.714892296224008,40000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_관악구/history.npy,98,71,1432418.0,3731760,71,0.7244897959183674,,
BANDIT,광진구,-899.53,-1015.1731315763528,-1043.2563300818424,-115.64313157635286,-143.72633008184243,20000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_광진구/history.npy,110,90,3553277.0,4731300,90,0.8181818181818182,,
BANDIT,구로구,-847.08,-897.5620056674298,-916.8240717557289,-50.4820056674298,-69.7440717557289,140000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_구로구/history.npy,129,115,3053386.0,6045320,115,0.8914728682170543,,
BANDIT,금천구,-357.09,-385.02391744742283,-428.67714907862995,-27.933917447422857,-71.58714907862998,20000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_금천구/history.npy,84,76,1271514.0,3995168,76,0.9047619047619048,,
BANDIT,노원구,-800.31,-900.6322434822254,-973.4489158735572,-100.32224348222542,-173.13891587355727,20000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_노원구/history.npy,170,152,4424799.0,7990640,152,0.8941176470588236,,
BANDIT,도봉구,-124.93,-137.00089762903153,-138.77385428883034,-12.07089762903152,-13.843854288830329,80000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_도봉구/history.npy,103,76,1550924.0,3995244,76,0.7378640776699029,,
BANDIT,동대문구,-473.82,-453.03128514376897,-470.8518622818883,20.788714856231024,2.9681377181116773,40000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_동대문구/history.npy,110,91,2537854.0,4784052,91,0.8272727272727273,,
BANDIT,동작구,-173.98,-170.02676704328087,-176.79877774724758,3.95323295671912,-2.8187777472475943,80000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_동작구/history.npy,90,73,1326417.0,3837172,73,0.8111111111111111,,
BANDIT,마포구,-760.25,-769.9947832424834,-791.5300028742388,-9.744783242483436,-31.28000287423879,60000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_마포구/history.npy,146,122,3506436.0,6413662,122,0.8356164383561644,,
BANDIT,서대문구,-191.43,-204.44751638834688,-207.5935999339679,-13.017516388346877,-16.1635999339679,80000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_서대문구/history.npy,96,80,1318854.0,4205120,80,0.8333333333333334,,
BANDIT,서초구,-288.84,-270.566930565241,-295.2151410698555,18.273069434758952,-6.375141069855545,40000.0,170000.0,9,logs/bandit_interactive_topk12_bandit_서초구/history.npy,171,143,2137382.0,7517081,143,0.8362573099415205,,
